creditscore,geography,gender,age,tenure,balance,numofproducts,hascrcard,isactivemember,estimatedsalary,satisfaction_score,card_type,point_earned,payment_proxy,age_group,tenure_group,balance_group,average_revenue_group,annual_value_proxy,monthly_value_proxy,monthly_spend_category,customer_lifetime_value,customer_value_segment,active_status,credit_card_status,product_segment,actual_churn,churn_probability,predicted_churn
691,France,Male,52,3,0.0,1,1,0,175843.68,3,SILVER,660,SILVER,51-60,3-5 years,Low,Very High,1329.22,110.77,Medium,3987.66,Bronze,Inactive,Has Credit Card,1 product(s),1,0.9218324446232176,1
554,Spain,Male,37,3,0.0,2,1,0,166177.3,1,GOLD,612,GOLD,31-40,3-5 years,Medium,Very High,1376.89,114.74,Medium,4130.67,Bronze,Inactive,Has Credit Card,2 product(s),0,0.10516856618969596,0
478,Spain,Female,36,3,92363.3,2,1,0,44912.7,4,DIAMOND,480,DIAMOND,31-40,3-5 years,Medium,Low,2551.83,212.65,Medium,7655.49,Silver,Inactive,Has Credit Card,2 product(s),0,0.25832407670473306,0
756,Germany,Male,32,0,109528.16,2,1,1,56176.31,3,GOLD,516,GOLD,31-40,0-2 years,High,Medium,2969.44,247.45,High,2969.44,Bronze,Active,Has Credit Card,2 product(s),0,0.2497680141877978,0
718,Germany,Male,63,7,123204.88,1,1,1,100538.8,1,SILVER,831,SILVER,61+,6-8 years,High,High,3502.29,291.86,High,24516.03,Platinum,Active,Has Credit Card,1 product(s),0,0.5894942114364873,1
641,France,Male,31,9,112494.99,1,1,1,32231.6,4,GOLD,565,GOLD,31-40,9-10 years,High,Low,2813.56,234.46,Medium,25322.04,Platinum,Active,Has Credit Card,1 product(s),0,0.2228099292993813,0
773,Germany,Male,51,8,116197.65,2,1,1,86701.4,3,GOLD,345,GOLD,51-60,6-8 years,High,Medium,3169.96,264.16,High,25359.68,Platinum,Active,Has Credit Card,2 product(s),0,0.5202954237666385,1
687,Spain,Female,50,5,0.0,2,1,0,110230.4,1,PLATINUM,878,PLATINUM,41-50,3-5 years,Low,High,1230.15,102.51,Medium,6150.75,Silver,Inactive,Has Credit Card,2 product(s),0,0.29145474641532987,0
673,France,Male,59,0,178058.06,2,0,1,21063.71,3,DIAMOND,328,DIAMOND,51-60,0-2 years,Very High,Low,4070.48,339.21,Very High,4070.48,Bronze,Active,No Credit Card,2 product(s),1,0.4509250459218523,0
491,Spain,Female,61,8,0.0,2,0,1,139861.53,4,PLATINUM,973,PLATINUM,61+,6-8 years,Low,High,1425.81,118.82,Medium,11406.48,Gold,Active,No Credit Card,2 product(s),0,0.24147989786333457,0
719,France,Male,36,3,155423.17,1,1,1,199841.32,2,SILVER,374,SILVER,31-40,3-5 years,Very High,Very High,4414.67,367.89,Very High,13244.01,Gold,Active,Has Credit Card,1 product(s),0,0.3170171358757173,0
828,France,Male,30,4,73070.18,2,0,0,161671.15,4,SILVER,534,SILVER,18-30,3-5 years,Medium,Very High,2776.76,231.4,Medium,11107.04,Gold,Inactive,No Credit Card,2 product(s),0,0.16367848666684626,0
663,France,Male,28,4,0.0,2,1,1,123969.64,2,PLATINUM,540,PLATINUM,18-30,3-5 years,Medium,High,1129.85,94.15,Low,4519.4,Silver,Active,Has Credit Card,2 product(s),0,0.04898958011038684,0
759,France,Female,33,2,0.0,2,1,0,56583.88,1,SILVER,428,SILVER,31-40,0-2 years,Low,Medium,736.92,61.41,Low,1473.84,Bronze,Inactive,Has Credit Card,2 product(s),0,0.1298574676270795,0
633,France,Female,36,6,125130.28,1,0,0,125961.48,5,GOLD,465,GOLD,31-40,6-8 years,High,High,3484.91,290.41,High,20909.46,Platinum,Inactive,No Credit Card,1 product(s),0,0.3919301680799311,0
579,Germany,Male,42,0,144386.32,1,1,1,22497.1,2,SILVER,799,SILVER,41-50,0-2 years,Very High,Low,3519.71,293.31,High,3519.71,Bronze,Active,Has Credit Card,1 product(s),1,0.6447272167202476,1
538,Spain,Male,39,2,122773.5,2,1,1,58467.08,5,PLATINUM,419,PLATINUM,31-40,0-2 years,High,Medium,3197.31,266.44,High,6394.62,Silver,Active,Has Credit Card,2 product(s),0,0.21053131094738237,0
706,Spain,Male,42,9,0.0,2,1,1,28714.34,4,PLATINUM,361,PLATINUM,41-50,9-10 years,Low,Low,564.07,47.01,Low,5076.63,Silver,Active,Has Credit Card,2 product(s),0,0.13379162585038898,0
652,France,Male,31,2,119148.55,1,0,0,149740.22,1,PLATINUM,718,PLATINUM,31-40,0-2 years,High,Very High,3610.67,300.89,Very High,7221.34,Silver,Inactive,No Credit Card,1 product(s),0,0.28266462653742236,0
506,Germany,Male,59,8,119152.1,2,1,1,170679.74,2,SILVER,979,SILVER,51-60,6-8 years,High,Very High,3965.94,330.5,Very High,31727.52,Platinum,Active,Has Credit Card,2 product(s),0,0.4241776204772297,0
798,France,Male,22,8,0.0,2,1,0,107615.43,5,GOLD,280,GOLD,18-30,6-8 years,Low,High,918.08,76.51,Low,7344.64,Silver,Inactive,Has Credit Card,2 product(s),0,0.07071298809528476,0
680,France,Male,34,3,143292.95,1,1,0,66526.01,1,SILVER,694,SILVER,31-40,3-5 years,Very High,Medium,3665.49,305.46,Very High,10996.47,Gold,Inactive,Has Credit Card,1 product(s),0,0.38552981305739353,0
517,Germany,Female,59,8,154110.99,2,1,0,101240.08,1,DIAMOND,872,DIAMOND,51-60,6-8 years,Very High,High,4264.42,355.37,Very High,34115.36,Platinum,Inactive,Has Credit Card,2 product(s),1,0.7200097737484118,1
521,France,Female,77,6,0.0,2,1,1,49054.1,4,DIAMOND,366,DIAMOND,61+,6-8 years,Medium,Low,668.27,55.69,Low,4009.62,Bronze,Active,Has Credit Card,2 product(s),0,0.11821167281989096,0
641,Spain,Male,40,5,102145.13,1,1,1,100637.07,1,DIAMOND,310,DIAMOND,31-40,3-5 years,High,High,2821.09,235.09,Medium,14105.45,Gold,Active,Has Credit Card,1 product(s),0,0.3228515181764034,0
761,France,Male,36,9,127637.92,1,1,1,81062.93,2,GOLD,860,GOLD,31-40,9-10 years,High,Medium,3508.07,292.34,High,31572.63,Platinum,Active,Has Credit Card,1 product(s),0,0.2642952245626655,0
737,Spain,Female,45,2,0.0,2,0,1,177695.67,2,GOLD,614,GOLD,41-50,0-2 years,Low,Very High,1435.48,119.62,Medium,2870.96,Bronze,Active,No Credit Card,2 product(s),0,0.1945111096630284,0
850,France,Female,42,9,113311.11,1,1,1,198193.75,1,SILVER,988,SILVER,41-50,9-10 years,High,Very High,3871.19,322.6,Very High,34840.71,Platinum,Active,Has Credit Card,1 product(s),0,0.48944111175347843,0
575,Spain,Male,43,3,0.0,1,1,0,83594.51,5,DIAMOND,600,DIAMOND,41-50,3-5 years,Low,Medium,837.97,69.83,Low,2513.91,Bronze,Inactive,Has Credit Card,1 product(s),0,0.772944285559579,1
594,France,Male,61,3,62391.22,1,1,1,192434.11,4,SILVER,968,SILVER,61+,3-5 years,Medium,Very High,2813.99,234.5,Medium,8441.97,Silver,Active,Has Credit Card,1 product(s),0,0.44828080163296347,0
509,France,Male,35,8,0.0,2,0,1,67431.28,3,GOLD,825,GOLD,31-40,6-8 years,Medium,Medium,989.66,82.47,Low,7917.28,Silver,Active,No Credit Card,2 product(s),0,0.08827651914612795,0
787,France,Female,85,10,0.0,2,1,1,116537.96,2,GOLD,542,GOLD,61+,9-10 years,Low,High,1093.69,91.14,Low,10936.9,Gold,Active,Has Credit Card,2 product(s),0,0.19809450140519716,0
534,France,Male,36,4,120037.96,1,1,0,36275.94,4,PLATINUM,488,PLATINUM,31-40,3-5 years,High,Low,2946.14,245.51,High,11784.56,Gold,Inactive,Has Credit Card,1 product(s),0,0.33170292284051395,0
541,France,Male,36,5,0.0,2,1,0,124795.84,2,PLATINUM,920,PLATINUM,31-40,3-5 years,Medium,High,1323.98,110.33,Medium,6619.9,Silver,Inactive,Has Credit Card,2 product(s),0,0.07250930148419027,0
809,France,Female,38,2,154763.21,2,1,1,174800.31,5,DIAMOND,733,DIAMOND,31-40,0-2 years,Very High,Very High,4575.77,381.31,Very High,9151.54,Silver,Active,Has Credit Card,2 product(s),0,0.25078794834416734,0
536,France,Male,46,1,65733.41,1,1,0,61094.53,2,SILVER,942,SILVER,41-50,0-2 years,Medium,Medium,2211.14,184.26,Medium,2211.14,Bronze,Inactive,Has Credit Card,1 product(s),0,0.7492973978780465,1
558,France,Male,31,7,0.0,1,1,0,198269.08,5,PLATINUM,239,PLATINUM,31-40,6-8 years,Medium,Very High,1230.85,102.57,Medium,8615.95,Silver,Inactive,Has Credit Card,1 product(s),0,0.48929463878562984,0
595,Germany,Female,32,0,92466.21,1,1,0,4721.3,2,PLATINUM,238,PLATINUM,31-40,0-2 years,Medium,Low,2111.93,175.99,Medium,2111.93,Bronze,Inactive,Has Credit Card,1 product(s),0,0.44644909653657067,0
790,France,Female,33,10,135120.72,1,0,0,195204.99,3,DIAMOND,522,DIAMOND,31-40,9-10 years,Very High,Very High,4059.44,338.29,Very High,40594.4,Platinum,Inactive,No Credit Card,1 product(s),0,0.41396135168176085,0
766,Germany,Female,28,3,62717.84,2,1,1,13182.43,1,GOLD,808,GOLD,18-30,3-5 years,Medium,Low,1964.27,163.69,Medium,5892.81,Silver,Active,Has Credit Card,2 product(s),0,0.14201052191165975,0
598,Spain,Male,44,8,0.0,2,1,0,148487.9,4,SILVER,909,SILVER,41-50,6-8 years,Low,High,1436.94,119.74,Medium,11495.52,Gold,Inactive,Has Credit Card,2 product(s),0,0.22058169311714412,0
526,Germany,Male,58,9,190298.89,2,1,1,191263.76,1,DIAMOND,889,DIAMOND,51-60,9-10 years,Very High,Very High,5446.8,453.9,Very High,49021.2,Platinum,Active,Has Credit Card,2 product(s),0,0.3390364592108545,0
804,Spain,Female,38,3,124197.22,1,1,0,74692.06,2,PLATINUM,271,PLATINUM,31-40,3-5 years,High,Medium,3112.9,259.41,High,9338.7,Gold,Inactive,Has Credit Card,1 product(s),0,0.4337128109739485,0
813,Germany,Female,25,5,123616.43,1,0,1,132959.33,1,GOLD,562,GOLD,18-30,3-5 years,High,High,3538.13,294.84,High,17690.65,Gold,Active,No Credit Card,1 product(s),0,0.42845307391331816,0
714,Germany,Female,35,6,126077.43,2,1,1,53954.24,2,DIAMOND,352,DIAMOND,31-40,6-8 years,High,Medium,3207.32,267.28,High,19243.92,Gold,Active,Has Credit Card,2 product(s),0,0.3484361534962814,0
543,France,Male,42,4,89838.71,3,1,0,85983.54,3,DIAMOND,660,DIAMOND,41-50,3-5 years,Medium,Medium,2916.69,243.06,High,11666.76,Gold,Inactive,Has Credit Card,3+ products,1,0.8833664529735992,1
631,France,Male,32,10,0.0,2,0,1,196342.66,3,SILVER,556,SILVER,31-40,9-10 years,Medium,Very High,1499.71,124.98,Medium,14997.1,Gold,Active,No Credit Card,2 product(s),0,0.07103859176074556,0
530,France,Female,55,4,120905.03,1,0,1,123475.88,5,DIAMOND,746,DIAMOND,51-60,3-5 years,High,High,3528.48,294.04,High,14113.92,Gold,Active,No Credit Card,1 product(s),1,0.6512361271554405,1
679,Germany,Female,32,0,88335.05,1,0,0,159584.81,5,DIAMOND,641,DIAMOND,31-40,0-2 years,Medium,Very High,3005.13,250.43,High,3005.13,Bronze,Inactive,No Credit Card,1 product(s),0,0.5024996304188738,1
798,France,Male,37,8,0.0,3,0,0,110783.28,4,SILVER,860,SILVER,31-40,6-8 years,Low,High,1343.92,111.99,Medium,10751.36,Gold,Inactive,No Credit Card,3+ products,0,0.6626718518084819,1
710,Germany,Male,34,9,134260.36,2,1,0,147074.67,5,GOLD,257,GOLD,31-40,9-10 years,Very High,High,3789.08,315.76,Very High,34101.72,Platinum,Inactive,Has Credit Card,2 product(s),0,0.27228282811302384,0
615,France,Male,32,1,0.0,2,0,0,2139.25,4,PLATINUM,883,PLATINUM,31-40,0-2 years,Low,Low,692.2,57.68,Low,692.2,Bronze,Inactive,No Credit Card,2 product(s),0,0.09840408623711358,0
658,France,Female,43,7,140260.36,2,1,0,2748.72,4,DIAMOND,643,DIAMOND,41-50,6-8 years,Very High,Low,3380.45,281.7,High,23663.15,Platinum,Inactive,Has Credit Card,2 product(s),0,0.5042917215597271,1
601,France,Male,39,3,72647.64,1,1,0,41777.9,4,GOLD,809,GOLD,31-40,3-5 years,Medium,Low,2186.34,182.2,Medium,6559.02,Silver,Inactive,Has Credit Card,1 product(s),1,0.39586247410891523,0
718,France,Female,49,10,0.0,1,1,0,184474.72,2,PLATINUM,692,PLATINUM,41-50,9-10 years,Low,Very High,1388.37,115.7,Medium,13883.7,Gold,Inactive,Has Credit Card,1 product(s),1,0.8384581035494323,1
598,France,Male,48,6,120682.53,1,1,0,30635.52,2,GOLD,675,GOLD,41-50,6-8 years,High,Low,3024.33,252.03,High,18145.98,Gold,Inactive,Has Credit Card,1 product(s),1,0.6905888197464859,1
516,France,Female,46,6,62212.29,1,0,1,171681.86,2,GOLD,937,GOLD,41-50,6-8 years,Medium,Very High,2691.16,224.26,Medium,16146.96,Gold,Active,No Credit Card,1 product(s),1,0.5750062946698989,1
516,France,Female,46,1,104947.72,1,1,0,115789.25,5,DIAMOND,665,DIAMOND,41-50,0-2 years,High,High,3130.4,260.87,High,3130.4,Bronze,Inactive,Has Credit Card,1 product(s),1,0.7407381346513783,1
676,France,Female,43,2,0.0,1,1,1,55119.53,1,PLATINUM,679,PLATINUM,41-50,0-2 years,Low,Medium,735.1,61.26,Low,1470.2,Bronze,Active,Has Credit Card,1 product(s),0,0.6823403736539199,1
529,France,Male,67,8,103101.56,2,1,1,154002.02,5,PLATINUM,572,PLATINUM,61+,6-8 years,High,Very High,3358.04,279.84,High,26864.32,Platinum,Active,Has Credit Card,2 product(s),1,0.3059331699998933,0
573,France,Female,37,6,0.0,2,1,0,193995.37,4,PLATINUM,326,PLATINUM,31-40,6-8 years,Low,Very High,1372.98,114.42,Medium,8237.88,Silver,Inactive,Has Credit Card,2 product(s),0,0.14132113305290764,0
647,Germany,Male,35,3,192407.97,1,1,1,40145.28,3,DIAMOND,962,DIAMOND,31-40,3-5 years,Very High,Low,4649.89,387.49,Very High,13949.67,Gold,Active,Has Credit Card,1 product(s),0,0.3386339230008191,0
617,Spain,Female,46,3,106521.49,1,0,1,86587.37,4,DIAMOND,693,DIAMOND,41-50,3-5 years,High,Medium,3029.87,252.49,High,9089.61,Silver,Active,No Credit Card,1 product(s),0,0.5504571264021214,1
557,Spain,Female,40,4,0.0,2,0,1,105433.53,2,SILVER,281,SILVER,31-40,3-5 years,Low,High,907.67,75.64,Low,3630.68,Bronze,Active,No Credit Card,2 product(s),0,0.10201251727040005,0
650,France,Female,31,1,160566.11,2,0,0,27073.81,1,DIAMOND,404,DIAMOND,31-40,0-2 years,Very High,Low,3788.69,315.72,Very High,3788.69,Bronze,Inactive,No Credit Card,2 product(s),0,0.23455730439780872,0
532,France,Female,40,5,0.0,2,0,1,177099.71,4,DIAMOND,712,DIAMOND,31-40,3-5 years,Low,Very High,1481.5,123.46,Medium,7407.5,Silver,Active,No Credit Card,2 product(s),0,0.18149615415454778,0
753,Germany,Female,38,9,151766.71,1,1,1,180829.99,1,GOLD,873,GOLD,31-40,9-10 years,Very High,Very High,4495.98,374.66,Very High,40463.82,Platinum,Active,Has Credit Card,1 product(s),0,0.49010011107715007,0
627,France,Female,44,5,0.0,2,1,0,82969.61,5,SILVER,396,SILVER,41-50,3-5 years,Low,Medium,852.85,71.07,Low,4264.25,Silver,Inactive,Has Credit Card,2 product(s),1,0.2112729393252392,0
632,France,Male,40,5,147650.68,1,1,1,199674.83,1,SILVER,651,SILVER,31-40,3-5 years,Very High,Very High,4396.89,366.41,Very High,21984.45,Platinum,Active,Has Credit Card,1 product(s),0,0.3922775614391265,0
633,France,Female,32,1,104001.38,1,0,1,36642.65,3,DIAMOND,511,DIAMOND,31-40,0-2 years,High,Low,2638.74,219.9,Medium,2638.74,Bronze,Active,No Credit Card,1 product(s),0,0.25854569485601864,0
614,France,Male,50,4,137104.47,1,1,0,127166.49,1,DIAMOND,958,DIAMOND,41-50,3-5 years,Very High,High,3976.92,331.41,Very High,15907.68,Gold,Inactive,Has Credit Card,1 product(s),1,0.7459437318149417,1
510,Spain,Female,38,4,0.0,1,1,0,118913.53,2,DIAMOND,887,DIAMOND,31-40,3-5 years,Low,High,1158.07,96.51,Low,4632.28,Silver,Inactive,Has Credit Card,1 product(s),1,0.5918161935572306,1
621,Spain,Male,41,5,104631.67,1,1,1,95551.22,1,PLATINUM,680,PLATINUM,41-50,3-5 years,High,Medium,3030.39,252.53,High,15151.95,Gold,Active,Has Credit Card,1 product(s),0,0.3688597701227949,0
661,Spain,Female,42,9,75361.44,1,1,0,27608.12,2,PLATINUM,828,PLATINUM,41-50,9-10 years,Medium,Low,2179.27,181.61,Medium,19613.43,Gold,Inactive,Has Credit Card,1 product(s),1,0.6672533585176491,1
554,Germany,Male,26,4,121365.39,1,1,1,8742.36,5,DIAMOND,926,DIAMOND,18-30,3-5 years,High,Low,3054.02,254.5,High,12216.08,Gold,Active,Has Credit Card,1 product(s),0,0.32542766362971287,0
662,France,Male,34,2,0.0,2,0,1,21497.27,4,GOLD,892,GOLD,31-40,0-2 years,Low,Low,793.49,66.12,Low,1586.98,Bronze,Active,No Credit Card,2 product(s),0,0.06034346329551643,0
578,France,Male,50,5,151215.34,2,1,0,169804.4,4,PLATINUM,623,PLATINUM,41-50,3-5 years,Very High,Very High,4424.83,368.74,Very High,22124.15,Platinum,Inactive,Has Credit Card,2 product(s),0,0.5683355189048813,1
584,France,Male,38,9,104584.16,1,1,0,176678.72,4,GOLD,565,GOLD,31-40,9-10 years,High,Very High,3377.58,281.46,High,30398.22,Platinum,Inactive,Has Credit Card,1 product(s),0,0.3375835826408551,0
595,France,Female,39,7,120962.13,1,0,0,23305.01,3,DIAMOND,359,DIAMOND,31-40,6-8 years,High,Low,2835.27,236.27,Medium,19846.89,Platinum,Inactive,No Credit Card,1 product(s),0,0.46839479068125534,0
704,Germany,Female,24,7,113034.22,1,1,0,162503.48,2,PLATINUM,801,PLATINUM,18-30,6-8 years,High,Very High,3593.7,299.47,Very High,25155.9,Platinum,Inactive,Has Credit Card,1 product(s),1,0.5278234224441877,1
647,France,Female,29,0,98263.46,2,1,0,164717.95,2,GOLD,621,GOLD,18-30,0-2 years,High,Very High,3339.36,278.28,High,3339.36,Bronze,Inactive,Has Credit Card,2 product(s),0,0.20670328150765221,0
548,France,Female,37,9,0.0,2,0,0,98029.58,5,SILVER,967,SILVER,31-40,9-10 years,Low,Medium,1213.65,101.14,Medium,10922.85,Gold,Inactive,No Credit Card,2 product(s),0,0.15671693789737381,0
639,France,Male,39,6,150555.83,1,1,0,30414.17,5,SILVER,399,SILVER,31-40,6-8 years,Very High,Low,3482.69,290.22,High,20896.14,Platinum,Inactive,Has Credit Card,1 product(s),0,0.4040404961360439,0
694,France,Female,31,10,0.0,2,1,0,160990.27,3,SILVER,673,SILVER,31-40,9-10 years,Low,Very High,1381.45,115.12,Medium,13814.5,Gold,Inactive,Has Credit Card,2 product(s),0,0.15716581118698206,0
622,France,Male,40,4,99799.76,2,1,0,197372.13,1,DIAMOND,457,DIAMOND,31-40,3-5 years,High,Very High,3451.36,287.61,High,13805.44,Gold,Inactive,Has Credit Card,2 product(s),0,0.32421835157877715,0
812,France,Male,34,5,103818.43,1,1,1,166038.27,4,GOLD,230,GOLD,31-40,3-5 years,High,Very High,3141.56,261.8,High,15707.8,Gold,Active,Has Credit Card,1 product(s),0,0.2301587780897348,0
711,Spain,Male,32,5,0.0,2,1,1,147720.27,2,DIAMOND,521,DIAMOND,31-40,3-5 years,Low,High,1239.1,103.26,Medium,6195.5,Silver,Active,Has Credit Card,2 product(s),0,0.046510946566664574,0
627,France,Male,73,0,146329.73,1,0,1,43615.67,2,DIAMOND,871,DIAMOND,61+,0-2 years,Very High,Low,3700.17,308.35,Very High,3700.17,Bronze,Active,No Credit Card,1 product(s),0,0.35242421560198717,0
674,France,Male,26,6,166257.96,1,1,1,149369.41,1,PLATINUM,870,PLATINUM,18-30,6-8 years,Very High,High,4627.01,385.58,Very High,27762.06,Platinum,Active,Has Credit Card,1 product(s),0,0.2976607115890182,0
835,Spain,Male,38,7,86824.09,1,0,0,175905.97,2,GOLD,348,GOLD,31-40,6-8 years,Medium,Very High,2910.01,242.5,High,20370.07,Platinum,Inactive,No Credit Card,1 product(s),0,0.3640011069574203,0
548,Germany,Male,32,2,98986.28,1,1,1,55867.38,4,DIAMOND,315,DIAMOND,31-40,0-2 years,High,Medium,2536.56,211.38,Medium,5073.12,Silver,Active,Has Credit Card,1 product(s),0,0.3778585956955169,0
727,Germany,Male,45,6,114422.85,2,1,1,104678.78,5,PLATINUM,346,PLATINUM,41-50,6-8 years,High,High,3224.85,268.74,High,19349.1,Gold,Active,Has Credit Card,2 product(s),1,0.5144131417287878,1
465,France,Male,33,8,0.0,2,1,0,177668.55,4,DIAMOND,507,DIAMOND,31-40,6-8 years,Low,Very High,1381.84,115.15,Medium,11054.72,Gold,Inactive,Has Credit Card,2 product(s),0,0.11370072827084464,0
507,France,Male,36,4,83543.37,1,0,0,140134.43,1,DIAMOND,691,DIAMOND,31-40,3-5 years,Medium,High,2837.04,236.42,Medium,11348.16,Gold,Inactive,No Credit Card,1 product(s),0,0.3486202905102314,0
702,Spain,Male,39,8,0.0,2,1,0,99654.13,4,DIAMOND,876,DIAMOND,31-40,6-8 years,Low,Medium,1176.27,98.02,Low,9410.16,Gold,Inactive,Has Credit Card,2 product(s),0,0.0679839717914305,0
670,France,Male,38,7,0.0,2,1,1,77864.41,1,GOLD,794,GOLD,31-40,6-8 years,Medium,Medium,1026.32,85.53,Low,7184.24,Silver,Active,Has Credit Card,2 product(s),0,0.062134091713272006,0
645,France,Male,44,10,0.0,2,0,1,166707.22,4,PLATINUM,990,PLATINUM,41-50,9-10 years,Medium,Very High,1568.54,130.71,Medium,15685.4,Gold,Active,No Credit Card,2 product(s),0,0.1753155552155568,0
758,Germany,Male,68,6,112595.85,1,1,0,35865.44,4,GOLD,843,GOLD,61+,6-8 years,High,Low,2972.74,247.73,High,17836.44,Gold,Inactive,Has Credit Card,1 product(s),1,0.7679736480142373,1
730,France,Male,34,5,122453.37,2,1,0,138882.98,4,DIAMOND,822,DIAMOND,31-40,3-5 years,High,High,3794.48,316.21,Very High,18972.4,Gold,Inactive,Has Credit Card,2 product(s),0,0.27163609579093,0
560,France,Female,30,0,108883.29,1,1,0,27914.95,5,GOLD,469,GOLD,18-30,0-2 years,High,Low,2671.74,222.64,Medium,2671.74,Bronze,Inactive,Has Credit Card,1 product(s),0,0.3827548700323931,0
765,France,Male,41,4,124182.21,1,0,0,100153.43,1,SILVER,318,SILVER,41-50,3-5 years,High,Medium,3263.41,271.95,High,13053.64,Gold,Inactive,No Credit Card,1 product(s),0,0.5271226576429122,1
850,France,Female,38,0,106831.69,1,0,1,148977.72,1,SILVER,658,SILVER,31-40,0-2 years,High,High,3330.52,277.54,High,3330.52,Bronze,Active,No Credit Card,1 product(s),0,0.31239359247770443,0
490,France,Male,34,5,122952.9,2,0,0,154360.97,4,GOLD,957,GOLD,31-40,3-5 years,High,Very High,3949.36,329.11,Very High,19746.8,Platinum,Inactive,No Credit Card,2 product(s),0,0.29550662587911125,0
606,Spain,Male,36,0,94153.56,1,0,1,120138.27,3,DIAMOND,937,DIAMOND,31-40,0-2 years,Medium,High,3072.26,256.02,High,3072.26,Bronze,Active,No Credit Card,1 product(s),0,0.2634615267945486,0
687,Germany,Male,35,1,125141.24,2,1,1,148537.07,3,SILVER,299,SILVER,31-40,0-2 years,High,High,3635.01,302.92,Very High,3635.01,Bronze,Active,Has Credit Card,2 product(s),0,0.24179053034339243,0
793,France,Male,63,4,103729.79,2,1,1,80272.06,3,DIAMOND,650,DIAMOND,61+,3-5 years,High,Medium,3040.96,253.41,High,12163.84,Gold,Active,Has Credit Card,2 product(s),0,0.3528575966635792,0
